,Agricultural,Burning,Industrial,Vehicular,accuracy,macro avg,weighted avg
precision,0.9833433916716958,0.9843608813512198,0.9835245660488379,0.9862745098039216,0.9845196615231459,0.9843758372189189,0.9845194013181034
recall,0.982039537126326,0.9873117679866146,0.9803519061583578,0.9853544776119403,0.9845196615231459,0.9837644222208096,0.9845196615231459
f1-score,0.9826910319039865,0.9858341164595733,0.9819356733734763,0.9858142790480635,0.9845196615231459,0.9840687751962749,0.9845181615473854
support,8296.0,14344.0,6820.0,10720.0,0.9845196615231459,40180.0,40180.0
