,Agricultural,Burning,Industrial,Vehicular,accuracy,macro avg,weighted avg
precision,0.9602874893409672,0.9545517817371938,0.9534129441250184,0.9402033271719039,0.9516674962667994,0.9521138855937707,0.9517145772779096
recall,0.9502169720347156,0.956148912437256,0.9482404692082111,0.9489738805970149,0.9516674962667994,0.9508950585692993,0.9516674962667994
f1-score,0.9552256891850954,0.9553496795764836,0.9508196721311475,0.9445682451253482,0.9516674962667994,0.9514908215045187,0.9516786927078843
support,8296.0,14344.0,6820.0,10720.0,0.9516674962667994,40180.0,40180.0
