,Agricultural,Burning,Industrial,Vehicular,accuracy,macro avg,weighted avg
precision,0.9359542697153523,0.9737965979008324,0.9395058222095996,0.9737698818714539,0.9597063215530115,0.9557566429243096,0.9601557457187545
recall,0.9670925747348119,0.9378834355828221,0.9700879765395894,0.9765858208955224,0.9597063215530115,0.9629124519381864,0.9597063215530115
f1-score,0.9512686744130898,0.9555026812031677,0.9545520126965806,0.9751758185459457,0.9597063215530115,0.959124796714696,0.959715900535402
support,8296.0,14344.0,6820.0,10720.0,0.9597063215530115,40180.0,40180.0
