,Agricultural,Burning,Industrial,Vehicular,accuracy,macro avg,weighted avg
precision,0.8547575480329369,0.9194745435653852,0.8387272232798477,0.8719834087481146,0.8780736684917869,0.8712356809065711,0.8797360198091458
recall,0.9009161041465766,0.8637060791968767,0.9043988269794722,0.8628731343283582,0.8780736684917869,0.8829735361628209,0.8780736684917869
f1-score,0.8772300469483568,0.8907182399884966,0.8703259489205588,0.8674043510877719,0.8780736684917869,0.876419646736296,0.8782518795215951
support,8296.0,14344.0,6820.0,10720.0,0.8780736684917869,40180.0,40180.0
