latitude,longitude,temperature,humidity,pressure,wind_speed,wind_deg,weather
5.58389,-0.19968,29.16,70,1009,3.6,180,few clouds
5.58165,-0.19898,29.16,70,1009,3.6,180,few clouds
5.5401139,-0.2103972,29.28,70,1010,3.6,180,few clouds
5.570722,-0.2120555,29.32,70,1009,3.6,180,few clouds
5.567833,-0.2040278,29.25,70,1009,3.6,180,few clouds
5.566722,-0.2077778,29.32,70,1009,3.6,180,few clouds
5.6335571,-0.1651875,28.99,70,1009,3.6,180,few clouds
5.6408995,-0.1695437,29.01,70,1009,3.6,180,few clouds
5.6408137,-0.1579063,28.99,70,1009,3.6,180,few clouds
26.519,80.233,21.95,43,1012,3.57,289,clear sky
28.744,77.12,24.11,15,1013,3.26,302,clear sky
-34.56,-58.506,16.69,68,1021,6.17,90,scattered clouds
28.56,77.094,24.78,14,1013,3.31,307,clear sky
28.6787,77.2262,25.34,14,1013,3.26,305,clear sky
28.563262,77.186937,25.34,13,1013,3.39,307,clear sky
21.048,105.8,23.03,88,1013,1.54,350,scattered clouds
47.929732,106.888629,4.66,24,1024,8.0,120,scattered clouds
39.95,116.47,9.99,87,1028,0.0,0,overcast clouds
23.728,90.398,27.98,74,1009,1.03,80,haze
47.913429,106.99790699999998,4.86,24,1025,8.0,120,scattered clouds
1.298,103.78,29.7,67,1009,1.03,280,broken clouds
-33.464142,-70.660797,15.57,60,1017,2.89,249,clear sky
-36.737202,-73.104427,14.02,77,1017,2.57,220,overcast clouds
-32.924568,-71.515399,15.38,67,1019,2.57,40,broken clouds
52.16077306,21.03916667,13.56,66,1019,4.12,140,clear sky
47.9329056,106.9213833,4.9,24,1024,8.0,120,scattered clouds
52.11162100019676,5.708418999868416,14.35,69,1008,3.6,130,overcast clouds
40.01,116.333,9.93,55,1028,0.55,71,overcast clouds
52.42023000014056,4.832060000156797,13.68,71,1007,4.12,140,clear sky
31.907,34.81,25.4,80,1012,4.63,290,few clouds
-34.241168,-70.55283,14.56,54,1016,3.56,284,clear sky
-22.093082,-70.20121,19.44,71,1019,4.56,223,overcast clouds
53.21782600014504,6.578889000310201,14.05,67,1008,2.06,130,overcast clouds
8.484,4.675,35.23,30,1007,1.99,81,broken clouds
52.17203333,22.27277778,13.42,70,1020,3.84,139,scattered clouds
50.90031700019946,5.986852999872599,15.93,63,1008,3.6,180,overcast clouds
-33.591390623022,-70.594788,15.08,58,1017,3.45,274,clear sky
47.9176056,106.9373611,4.97,24,1024,8.0,120,scattered clouds
-33.049743798096,-71.614167231712,15.67,67,1019,2.57,40,broken clouds
47.9153833,106.89419440000002,4.99,24,1024,8.0,120,scattered clouds
13.797855,100.551338,28.64,70,1008,2.06,350,few clouds
28.674045,77.131023,24.73,14,1013,3.27,304,clear sky
52.803700000000006,5.05051,12.33,81,1008,2.68,123,very heavy rain
51.93847200021101,4.430691999983553,14.4,72,1007,3.6,160,overcast clouds
41.78,123.42,2.06,64,1028,1.0,0,broken clouds
-33.673752071375,-70.953064737434,18.22,53,1018,3.75,282,clear sky
52.10506300014719,5.124434999970995,13.92,69,1008,1.79,125,overcast clouds
14.040299305494,100.60873959621,28.32,75,1008,2.06,350,few clouds
52.137949999962665,4.83819000034937,13.39,77,1007,4.12,140,clear sky
47.863943,106.779094,4.83,24,1023,8.0,120,scattered clouds
51.59929999967941,-0.0682179997939665,17.27,80,1005,4.02,244,overcast clouds
-34.203524,-70.529854,13.41,54,1017,3.58,279,clear sky
51.29446600001544,3.749409000397801,15.28,74,1007,0.89,150,overcast clouds
29.308562,-95.19991,18.37,100,1019,1.68,104,clear sky
-36.923329602986,-73.036132300941,13.86,77,1017,2.57,220,overcast clouds
13.684229480854,100.44598735492,27.02,88,1008,2.65,313,overcast clouds
-32.77898790221,-71.373031276855,15.05,63,1019,3.6,293,broken clouds
-37.021182877699,-73.149555550926,13.63,65,1017,1.39,342,few clouds
-36.784653741124,-73.052063025795,13.88,77,1017,2.57,220,overcast clouds
51.51838800001479,5.148450000227909,14.36,73,1008,3.6,160,overcast clouds
-34.974925077541,-71.233967512329,15.07,64,1018,3.09,318,broken clouds
-45.579045667164,-72.049964505825,13.4,58,1016,0.77,206,overcast clouds
52.1678,4.50756,13.95,73,1007,1.34,157,overcast clouds
52.296555999830005,4.51081699998525,13.22,71,1007,4.12,140,clear sky
51.97783000007194,4.121903000365913,14.86,72,1007,1.34,128,overcast clouds
52.23510000000001,5.18155,13.83,70,1008,2.63,162,overcast clouds
52.389983000188224,4.88781099987638,13.66,71,1007,4.12,140,clear sky
-37.008669,-73.148086,13.94,65,1017,1.39,342,few clouds
52.37051800026408,4.6423090001344685,13.34,72,1007,4.12,140,clear sky
52.38829100007745,6.402899999997742,14.57,58,1008,3.84,157,overcast clouds
51.5475,5.8382,15.14,67,1008,3.6,180,overcast clouds
51.5359,5.80859,15.16,67,1008,3.6,180,overcast clouds
47.8943389,106.8824722,5.06,24,1024,8.0,120,scattered clouds
51.8413800001826,5.857771999792528,14.41,70,1008,3.54,161,overcast clouds
13.775373291477,100.56892844813,28.27,78,1008,2.06,350,few clouds
52.359714000013874,4.866208000411839,13.57,71,1008,4.12,140,clear sky
52.49399200004851,4.601986000379324,13.52,77,1007,3.49,150,overcast clouds
52.46304000005105,4.60177600031704,13.39,74,1007,4.12,140,clear sky
52.39397200025616,4.870156999790721,13.65,71,1007,4.12,140,clear sky
50.8598,5.71381,15.78,65,1008,3.6,180,overcast clouds
52.33400300025121,4.7740060003231,13.45,72,1007,4.12,140,clear sky
52.42801700027339,4.7734780002434976,13.69,71,1007,4.12,140,clear sky
52.38133100023151,4.845232999687698,13.6,71,1007,4.12,140,clear sky
28.6235,77.2494,25.67,13,1013,3.32,307,clear sky
13.664087,100.543436,26.93,88,1008,0.45,294,overcast clouds
-32.833639,-70.99693,16.47,44,1017,2.73,259,clear sky
51.617327,-0.298775,16.71,84,1005,5.14,190,broken clouds
13.792635009230002,100.59607755884,28.97,70,1008,2.06,350,few clouds
-20.259620485825,-70.088653564453,16.75,66,1019,3.11,259,overcast clouds
-20.290859340668,-70.09955406189,15.77,68,1019,3.1,249,overcast clouds
51.48878999962389,-0.4416139999354945,16.88,84,1005,5.14,190,overcast clouds
30.63,104.07,15.0,88,1014,1.0,0,broken clouds
31.21,121.44,18.93,82,1021,2.0,100,light rain
23.12,113.32,25.39,68,1014,2.45,134,overcast clouds
-22.087,-70.193253,20.94,63,1019,3.9,232,overcast clouds
51.4804989994662,-0.0595500002089531,17.31,80,1005,3.6,180,scattered clouds
51.45258,0.070766,16.87,80,1005,3.6,180,scattered clouds
51.52228999923011,-0.1258890002113339,17.15,80,1005,4.02,244,overcast clouds
51.518948,-0.265617,17.06,82,1005,5.14,190,broken clouds
51.58412799971813,-0.1252540000016108,17.12,80,1005,4.02,244,overcast clouds
